1077 1077
73 71 1
72 71 1
73 70 1
70 68 1
68 68 1
71 66 1
68 66 1
68 64 1
69 64 1
73 64 1
74 64 1
76 63 1
77 62 1
80 62 1
86 63 1
84 64 1
81 65 1
80 66 1
77 66 1
77 67 1
78 67 1
80 68 1
81 68 1
81 69 1
81 67 1
75 69 1
74 66 1
77 69 1
77 65 1
78 65 1
87 58 1
89 57 1
90 57 1
87 55 1
88 53 1
83 53 1
84 55 1
83 55 1
85 50 1
85 49 1
87 44 1
85 42 1
84 42 1
75 34 1
73 34 1
65 36 1
65 37 1
65 40 1
62 40 1
67 39 1
55 31 1
55 30 1
56 30 1
52 32 1
51 34 1
49 35 1
45 36 1
44 36 1
43 35 1
47 39 1
49 38 1
52 36 1
57 34 1
57 36 1
54 33 1
55 33 1
55 32 1
47 34 1
57 40 1
56 40 1
56 39 1
55 39 1
61 44 1
59 28 1
60 26 1
59 25 1
61 25 1
56 24 1
54 24 1
57 22 1
58 22 1
56 20 1
55 21 1
56 19 1
55 19 1
55 17 1
56 18 1
59 20 1
60 18 1
64 18 1
71 20 1
72 20 1
71 27 1
72 27 1
74 27 1
75 27 1
76 27 1
76 26 1
78 23 1
81 24 1
81 26 1
80 26 1
82 26 1
83 26 1
84 26 1
88 26 1
92 28 1
92 29 1
92 32 1
96 35 1
93 34 1
97 34 1
98 34 1
97 32 1
98 28 1
97 27 1
95 26 1
95 25 1
95 24 1
94 24 1
92 24 1
98 27 1
99 27 1
99 26 1
99 24 1
97 23 1
94 22 1
93 22 1
92 22 1
91 22 1
90 22 1
93 21 1
92 20 1
88 17 1
87 19 1
86 19 1
84 19 1
83 19 1
81 19 1
81 18 1
84 16 1
83 14 1
85 13 1
83 12 1
79 10 1
76 10 1
73 9 1
73 10 1
72 10 1
69 18 1
73 15 1
70 11 1
74 18 1
70 7 1
70 8 1
71 4 1
71 5 1
70 5 1
71 6 1
69 2 1
68 2 1
63 1 1
61 1 1
57 1 1
51 2 1
47 2 1
47 3 1
48 4 1
54 2 1
58 7 1
58 8 1
58 9 1
57 9 1
63 12 1
61 12 1
63 14 1
64 14 1
63 16 1
65 13 1
61 5 1
66 5 1
66 10 1
66 9 1
74 1 1
77 2 1
78 1 1
89 9 1
93 12 1
94 13 1
96 10 1
97 10 1
98 10 1
99 10 1
98 12 1
97 14 1
95 6 1
96 5 1
99 4 1
96 4 1
98 1 1
92 4 1
91 3 1
90 3 1
87 3 1
87 2 1
87 1 1
89 1 1
88 2 1
92 2 1
85 3 1
83 1 1
86 16 1
87 14 1
87 13 1
87 12 1
86 10 1
93 23 1
97 15 1
98 15 1
99 17 1
88 30 1
87 30 1
86 30 1
85 30 1
85 28 1
86 21 1
89 20 1
84 24 1
84 23 1
84 20 1
78 21 1
76 21 1
76 22 1
76 28 1
67 27 1
65 32 1
65 31 1
70 35 1
71 35 1
72 32 1
71 36 1
70 37 1
80 32 1
81 32 1
81 31 1
81 33 1
85 33 1
85 34 1
86 34 1
84 37 1
85 36 1
86 36 1
81 28 1
86 39 1
90 43 1
94 40 1
93 41 1
99 36 1
92 49 1
91 52 1
92 50 1
93 50 1
94 50 1
99 45 1
99 43 1
84 44 1
92 60 1
92 61 1
93 62 1
95 57 1
96 57 1
98 58 1
96 58 1
97 56 1
95 63 1
99 66 1
99 59 1
97 52 1
98 52 1
98 51 1
99 49 1
99 48 1
98 47 1
99 47 1
85 67 1
88 68 1
79 61 1
74 56 1
72 61 1
75 57 1
76 57 1
80 56 1
74 62 1
75 58 1
72 63 1
70 63 1
62 67 1
55 68 1
54 68 1
52 68 1
51 68 1
51 67 1
57 67 1
55 69 1
54 69 1
51 70 1
53 71 1
54 71 1
55 71 1
54 70 1
58 69 1
62 70 1
64 70 1
61 66 1
63 66 1
67 73 1
68 73 1
68 75 1
67 75 1
66 75 1
84 69 1
89 69 1
86 75 1
86 76 1
85 76 1
87 76 1
88 76 1
81 74 1
81 77 1
82 77 1
79 79 1
78 79 1
77 79 1
76 79 1
75 79 1
73 79 1
76 82 1
77 83 1
80 80 1
74 77 1
71 78 1
82 73 1
83 73 1
93 71 1
93 70 1
95 70 1
96 69 1
98 69 1
98 71 1
99 71 1
99 67 1
91 69 1
93 73 1
95 77 1
99 79 1
99 80 1
97 82 1
98 83 1
99 84 1
99 73 1
95 76 1
96 87 1
95 87 1
90 83 1
87 81 1
85 80 1
83 83 1
84 84 1
82 85 1
83 86 1
84 86 1
84 87 1
84 88 1
84 89 1
86 86 1
99 88 1
99 85 1
71 86 1
71 87 1
70 82 1
69 82 1
67 81 1
67 84 1
64 81 1
62 80 1
61 80 1
63 85 1
62 85 1
60 85 1
57 85 1
56 85 1
60 86 1
57 86 1
56 87 1
55 87 1
55 89 1
57 87 1
61 84 1
58 83 1
54 77 1
55 81 1
53 82 1
54 82 1
61 79 1
65 77 1
66 77 1
68 77 1
67 76 1
68 76 1
52 73 1
50 73 1
50 75 1
47 76 1
46 76 1
45 76 1
45 78 1
43 78 1
50 77 1
51 77 1
47 74 1
67 89 1
70 91 1
68 91 1
67 91 1
70 92 1
75 90 1
79 99 1
78 99 1
77 100 1
78 100 1
79 100 1
71 98 1
69 98 1
64 95 1
65 95 1
61 96 1
56 96 1
55 97 1
54 97 1
53 97 1
52 97 1
56 95 1
58 94 1
60 95 1
62 91 1
57 88 1
58 89 1
53 96 1
51 95 1
54 91 1
50 91 1
43 89 1
42 88 1
36 90 1
40 85 1
41 85 1
40 83 1
34 83 1
31 59 1
31 58 1
34 66 1
39 77 1
40 75 1
41 81 1
45 79 1
46 81 1
47 81 1
48 80 1
48 78 1
52 83 1
53 83 1
39 69 1
40 69 1
45 65 1
49 66 1
51 66 1
53 66 1
54 66 1
51 63 1
53 62 1
51 61 1
50 62 1
60 60 1
60 63 1
61 63 1
62 59 1
62 58 1
63 56 1
62 55 1
65 50 1
61 49 1
63 48 1
64 46 1
69 43 1
70 50 1
76 44 1
77 45 1
75 47 1
75 48 1
70 54 1
69 55 1
71 55 1
81 47 1
81 46 1
77 42 1
71 39 1
64 45 1
56 51 1
55 51 1
54 51 1
51 53 1
49 56 1
49 58 1
51 58 1
48 51 1
45 49 1
50 46 1
54 44 1
53 44 1
53 43 1
54 42 1
55 41 1
68 62 1
68 56 1
67 56 1
45 59 1
44 59 1
32 53 1
25 41 1
26 41 1
13 44 1
12 44 1
7 44 1
5 42 1
8 42 1
7 45 1
8 46 1
11 46 1
12 46 1
12 47 1
12 43 1
12 42 1
12 41 1
12 40 1
9 38 1
7 39 1
6 39 1
8 49 1
2 46 1
1 46 1
1 44 1
4 47 1
4 49 1
6 52 1
1 49 1
1 47 1
1 53 1
1 55 1
15 52 1
16 54 1
16 48 1
15 43 1
16 42 1
24 50 1
24 51 1
25 39 1
26 39 1
36 32 1
35 31 1
36 30 1
36 29 1
38 30 1
32 29 1
21 25 1
23 25 1
24 25 1
21 23 1
15 26 1
18 22 1
18 21 1
19 22 1
2 28 1
1 28 1
1 29 1
4 29 1
6 30 1
5 30 1
2 32 1
7 36 1
2 40 1
10 37 1
12 39 1
7 22 1
4 21 1
3 22 1
2 19 1
1 17 1
11 19 1
14 15 1
13 15 1
12 15 1
21 7 1
22 7 1
22 8 1
23 8 1
24 8 1
25 8 1
26 8 1
26 7 1
25 7 1
28 9 1
25 12 1
24 10 1
22 10 1
21 10 1
21 5 1
16 2 1
15 5 1
15 6 1
10 1 1
14 1 1
16 1 1
19 1 1
16 8 1
21 3 1
25 1 1
24 6 1
29 12 1
28 12 1
29 13 1
30 13 1
32 12 1
33 13 1
34 13 1
33 11 1
35 11 1
42 17 1
43 18 1
44 18 1
45 20 1
44 20 1
43 20 1
46 20 1
46 17 1
45 16 1
49 16 1
36 27 1
24 26 1
25 16 1
31 20 1
29 16 1
23 15 1
23 14 1
27 15 1
28 15 1
29 15 1
26 23 1
28 23 1
28 24 1
32 25 1
31 23 1
30 21 1
32 21 1
33 17 1
35 17 1
37 15 1
38 15 1
40 28 1
45 27 1
46 28 1
45 21 1
46 21 1
43 21 1
43 15 1
44 15 1
45 15 1
46 15 1
42 13 1
43 13 1
42 12 1
42 9 1
40 7 1
38 7 1
37 7 1
33 8 1
36 9 1
37 9 1
33 9 1
38 8 1
37 5 1
37 4 1
40 9 1
38 2 1
36 1 1
48 5 1
53 10 1
53 11 1
47 9 1
47 24 1
36 35 1
44 28 1
42 34 1
43 34 1
44 33 1
39 36 1
37 38 1
37 39 1
41 40 1
39 40 1
38 40 1
39 45 1
38 45 1
38 46 1
32 44 1
32 40 1
43 43 1
43 44 1
44 41 1
47 40 1
48 40 1
47 41 1
43 39 1
46 43 1
39 35 1
51 29 1
57 12 1
57 13 1
50 4 1
33 3 1
10 8 1
2 14 1
1 14 1
5 14 1
11 10 1
