641 641
13 73 1
13 70 1
16 72 1
14 74 1
14 75 1
16 77 1
10 75 1
10 74 1
1 64 1
8 76 1
8 79 1
7 79 1
9 79 1
1 79 1
2 77 1
1 73 1
1 76 1
9 64 1
6 61 1
4 61 1
1 63 1
7 59 1
4 58 1
3 58 1
2 59 1
3 56 1
1 56 1
2 54 1
1 54 1
2 60 1
1 60 1
8 50 1
11 47 1
13 45 1
15 45 1
16 45 1
14 47 1
15 47 1
7 52 1
8 53 1
2 49 1
1 49 1
1 48 1
2 48 1
4 46 1
3 46 1
1 47 1
1 46 1
11 43 1
11 42 1
18 61 1
20 63 1
21 63 1
23 64 1
24 64 1
25 71 1
25 72 1
26 72 1
23 73 1
23 74 1
23 75 1
20 79 1
20 80 1
16 78 1
20 76 1
22 76 1
19 68 1
28 74 1
30 71 1
34 71 1
30 72 1
29 70 1
35 70 1
34 65 1
34 64 1
30 66 1
29 68 1
25 61 1
29 59 1
29 58 1
31 59 1
28 55 1
20 58 1
20 56 1
21 56 1
20 55 1
20 54 1
18 47 1
20 48 1
26 49 1
25 48 1
19 43 1
21 42 1
22 42 1
22 41 1
24 43 1
24 44 1
28 43 1
30 50 1
31 50 1
28 46 1
36 47 1
38 48 1
41 73 1
40 76 1
38 76 1
34 75 1
34 72 1
32 76 1
33 76 1
35 76 1
69 69 1
70 67 1
69 66 1
70 66 1
67 62 1
73 65 1
74 66 1
75 66 1
79 72 1
78 75 1
79 75 1
79 76 1
73 78 1
74 78 1
74 72 1
73 69 1
76 78 1
76 79 1
79 78 1
79 69 1
79 67 1
79 66 1
68 60 1
68 59 1
68 57 1
68 56 1
70 58 1
74 60 1
76 60 1
74 54 1
69 50 1
79 47 1
79 46 1
79 45 1
75 44 1
69 41 1
77 44 1
73 38 1
68 39 1
68 37 1
68 36 1
63 36 1
62 36 1
64 37 1
68 32 1
68 31 1
69 31 1
71 32 1
72 33 1
73 32 1
72 29 1
71 29 1
70 30 1
73 29 1
76 34 1
79 31 1
60 38 1
79 53 1
78 57 1
79 50 1
71 54 1
61 62 1
60 62 1
50 58 1
50 57 1
45 47 1
43 46 1
44 46 1
45 40 1
46 39 1
44 39 1
43 39 1
44 38 1
45 38 1
51 49 1
50 49 1
53 34 1
54 34 1
55 33 1
53 30 1
45 35 1
44 31 1
35 39 1
28 33 1
39 24 1
40 24 1
37 23 1
37 22 1
40 20 1
41 21 1
38 19 1
39 19 1
40 19 1
41 23 1
42 23 1
28 17 1
27 17 1
28 16 1
28 15 1
29 15 1
30 16 1
23 14 1
24 14 1
28 14 1
27 10 1
26 10 1
26 9 1
25 8 1
26 8 1
30 7 1
31 7 1
32 7 1
28 7 1
27 7 1
26 7 1
25 7 1
24 7 1
23 7 1
29 5 1
27 5 1
25 2 1
26 1 1
24 6 1
31 6 1
32 6 1
33 6 1
34 3 1
34 8 1
33 8 1
36 8 1
37 6 1
39 7 1
40 8 1
40 9 1
45 2 1
46 2 1
47 2 1
48 1 1
51 5 1
52 4 1
54 4 1
48 11 1
49 11 1
51 11 1
51 12 1
53 12 1
54 12 1
54 11 1
57 13 1
56 16 1
57 16 1
56 17 1
57 10 1
57 9 1
57 8 1
58 8 1
59 8 1
67 7 1
69 6 1
63 8 1
62 8 1
64 9 1
67 8 1
68 8 1
68 9 1
66 5 1
66 2 1
67 1 1
69 1 1
72 7 1
74 11 1
75 12 1
74 8 1
74 6 1
78 3 1
78 2 1
76 1 1
61 4 1
60 2 1
59 3 1
58 3 1
53 9 1
47 16 1
48 16 1
50 18 1
55 20 1
56 20 1
54 24 1
53 25 1
58 23 1
59 20 1
59 19 1
61 16 1
63 17 1
62 15 1
66 11 1
67 11 1
64 18 1
61 19 1
56 27 1
51 26 1
47 32 1
47 31 1
47 27 1
46 25 1
51 28 1
52 28 1
43 18 1
37 15 1
36 15 1
34 15 1
32 12 1
32 13 1
31 13 1
42 20 1
46 23 1
44 12 1
62 31 1
70 24 1
72 23 1
72 27 1
72 28 1
78 26 1
79 26 1
76 25 1
77 25 1
78 25 1
77 20 1
79 17 1
77 16 1
79 15 1
71 18 1
69 18 1
68 17 1
70 19 1
72 22 1
79 12 1
52 8 1
54 8 1
53 7 1
45 8 1
45 9 1
34 2 1
37 5 1
30 2 1
31 1 1
30 1 1
20 13 1
17 13 1
19 12 1
15 9 1
11 10 1
19 11 1
20 11 1
21 11 1
21 9 1
20 14 1
21 12 1
18 22 1
16 22 1
19 23 1
17 23 1
18 17 1
19 16 1
18 16 1
5 15 1
4 17 1
4 18 1
6 20 1
6 22 1
7 24 1
1 28 1
1 29 1
2 21 1
3 29 1
4 29 1
8 30 1
8 31 1
3 36 1
4 36 1
4 37 1
2 39 1
3 39 1
5 42 1
1 44 1
3 44 1
11 41 1
13 39 1
14 39 1
15 39 1
16 39 1
13 40 1
12 36 1
2 34 1
2 30 1
1 30 1
11 27 1
16 36 1
19 32 1
12 32 1
15 32 1
26 36 1
18 26 1
8 22 1
11 21 1
13 20 1
13 23 1
11 19 1
9 18 1
10 18 1
1 11 1
1 16 1
1 17 1
1 14 1
11 7 1
